datetime,latitude,longitude,magnitude,depth,location,risk_level
2021-07-31 09:43:23,29.06,77.42,2.5,5.0,"53km NNE of New Delhi, India",Low
2021-07-30 23:04:57,19.93,72.92,2.4,5.0,"91km W of Nashik, Maharashtra, India",Low
2021-07-30 21:31:10,31.5,74.37,3.4,33.0,"49km WSW of Amritsar, Punjab, India",Low
2021-07-30 03:33:16,27.9,94.2,3.0,10.0,"48km W of Basar, Arunachal Pradesh, India",Low
2021-07-29 18:47:30,26.6,92.51,3.1,28.0,"28km WSW of Tezpur, Assam, India",Low
2021-07-27 05:54:26,32.29,76.65,2.6,10.0,"31km ENE of Dharamshala, Himachal Pradesh, India",Low
2021-07-26 16:38:34,38.1,75.45,4.4,10.0,"399km N of Kargil, Laddakh, India",Medium
2021-07-26 10:33:31,24.6,94.33,4.9,50.0,"39km SSW of Ukhrul, Manipur, India",Medium
2021-07-26 05:00:53,16.0,78.22,4.0,10.0,"156km S of Hyderabad, Telangana, India",Medium
2021-07-24 09:55:40,28.97,77.2,2.4,18.0,"39km N of New Delhi, India",Low
2021-07-24 01:28:41,30.74,78.68,3.4,10.0,"23km E of Uttarkashi, Uttarakhand, India",Low
2021-07-23 21:31:58,27.56,91.13,3.2,10.0,"73km W of Tawang, Arunachal Pradesh, India",Low
2021-07-23 18:42:01,27.35,86.86,3.5,10.0,"134km W of Yuksom, Sikkim, India",Low
2021-07-23 11:46:58,25.94,92.56,2.9,5.0,"73km E of Nongpoh, Meghalaya, India",Low
2021-07-22 16:28:47,24.84,94.15,3.5,40.0,"21km E of Imphal, Manipur, India",Low
2021-07-22 07:42:15,29.65,69.5,4.8,15.0,"413km WNW of Bikaner, Rajasthan, India",Medium
2021-07-21 05:24:29,29.19,70.05,5.3,110.0,"343km WNW of Bikaner, Rajasthan, India",Medium
2021-07-21 04:57:46,34.2,77.78,3.6,200.0,"19km ENE of Leh, Laddakh, India",Low
2021-07-21 02:10:49,25.88,90.34,4.1,10.0,"42km NNE of Tura, Meghalaya, India",Medium
2021-07-21 02:06:28,29.01,76.91,2.1,5.0,"32km ENE of Rohtak, Haryana, India",Low
2021-07-21 01:18:07,29.01,76.91,2.3,5.0,"32km ENE of Rohtak, Haryana, India",Low
2021-07-20 23:19:21,29.28,69.05,4.5,250.0,"438km WNW of Bikaner, Rajasthan, India",Medium
2021-07-19 21:03:34,20.02,72.92,3.4,5.0,"90km W of Nashik, Maharashtra, India",Low
2021-07-19 18:46:58,27.4,88.62,3.2,10.0,"6km N of Gangtok, Sikkim, India",Low
2021-07-18 20:44:34,28.84,81.22,3.8,23.0,"127km SE of Pithoragarh, Uttarakhand, India",Low
2021-07-18 12:43:39,23.39,70.39,3.9,10.0,"127km NNW of Rajkot, Gujarat, India",Low
2021-07-18 10:08:58,34.13,77.8,3.7,20.0,"20km E of Leh, Laddakh, India",Low
2021-07-18 04:48:28,32.43,76.48,2.6,10.0,"27km NNE of Dharamshala, Himachal Pradesh, India",Low
2021-07-18 02:59:02,28.75,76.6,2.2,10.0,"16km S of Rohtak, Haryana, India",Low
2021-07-16 23:32:28,31.58,78.19,3.1,5.0,"97km NNW of Uttarkashi, Uttarakhand, India",Low
2021-07-16 08:39:11,26.48,92.44,3.4,10.0,"40km WSW of Tezpur, Assam, India",Low
2021-07-16 00:51:46,22.48,94.42,3.1,10.0,"155km SE of Champhai, Mizoram, India",Low
2021-07-15 19:47:26,31.19,77.92,3.6,10.0,"71km NW of Uttarkashi, Uttarakhand, India",Low
2021-07-15 07:23:18,17.47,73.26,3.5,5.0,"132km SSW of Pune, Maharashtra, India",Low
2021-07-15 02:04:40,23.46,94.61,4.4,19.0,"130km E of Champhai, Mizoram, India",Medium
2021-07-15 01:40:51,22.45,94.19,3.8,10.0,"142km SE of Champhai, Mizoram, India",Low
2021-07-14 23:33:26,28.89,89.0,3.4,10.0,"135km N of Lachung, Sikkim, India",Low
2021-07-14 19:55:09,25.99,90.4,3.4,8.0,"56km NNE of Tura, Meghalaya, India",Low
2021-07-13 22:40:28,29.12,77.4,2.4,5.0,"59km NNE of New Delhi, India",Low
2021-07-13 01:44:59,14.5,93.14,4.2,10.0,"138km N of Diglipur, Andaman and Nicobar island, India",Medium
2021-07-11 08:42:04,19.7,77.28,3.0,10.0,"114km SSE of Akola,Maharashtra,India",Low
2021-07-11 08:33:17,19.73,77.77,4.4,10.0,"122km NNW of Nizamabad, Telangana, India",Medium
2021-07-10 07:31:12,26.62,92.45,3.1,17.0,"34km W of Tezpur, Assam, India",Low
2021-07-09 13:16:25,25.99,90.27,4.3,5.0,"53km N of Tura, Meghalaya, India",Medium
2021-07-09 05:56:27,24.7,94.99,4.5,90.0,"57km ESE of Ukhrul, Manipur, India",Medium
2021-07-08 18:53:26,34.83,97.83,4.8,10.0,"782km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-07-08 17:02:43,26.34,92.79,2.9,15.0,"34km S of Tezpur, Assam, India",Low
2021-07-07 15:32:07,31.66,96.56,3.9,10.0,"410km NNE of Pangin, Arunachal Pradesh, India",Low
2021-07-07 13:56:42,25.97,90.42,3.7,10.0,"55km NNE of Tura, Meghalaya, India",Low
2021-07-07 12:57:13,34.68,98.42,4.5,22.0,"785km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-07-07 08:45:25,26.15,90.28,5.2,14.0,"71km N of Tura, Meghalaya, India",Medium
2021-07-05 20:20:59,24.67,94.14,2.8,20.0,"26km SE of Imphal, Manipur, India",Low
2021-07-05 16:36:17,22.46,93.64,3.5,10.0,"115km SSE of Champhai, Mizoram, India",Low
2021-07-05 03:18:37,32.89,98.86,4.6,120.0,"610km NNE of Changlang, Arunachal Pradesh, India",Medium
2021-07-04 22:27:15,26.22,96.31,3.8,45.0,"172km S of Changlang, Arunachal Pradesh, India",Low
2021-07-04 19:00:52,24.81,93.9,3.3,30.0,"3km WSW of Imphal, Manipur, India",Low
2021-07-01 07:07:43,20.05,72.94,3.6,5.0,"89km W of Nashik, Maharashtra, India",Low
2021-06-30 21:35:36,20.01,72.83,3.1,5.0,"100km W of Nashik, Maharashtra, India",Low
2021-06-30 21:02:17,26.52,92.52,2.7,65.0,"30km WSW of Tezpur, Assam, India",Low
2021-06-28 12:18:05,30.084,80.26,3.7,10.0,"55km N of Pithoragarh, Uttarakhand, India",Low
2021-06-28 06:10:35,34.49,78.43,4.6,18.0,"86km ENE of Leh, Laddakh, India",Medium
2021-06-26 00:36:34,25.48,93.79,2.3,10.0,"36km S of Chumukedima, Nagaland, India",Low
2021-06-24 11:57:00,20.01,72.95,3.7,5.0,"87km W of Nashik, Maharashtra, India",Low
2021-06-22 22:14:35,28.13,92.09,4.6,70.0,"64km NNE of Tawang, Arunachal Pradesh, India",Medium
2021-06-21 15:37:03,28.28,87.82,4.0,10.0,"108km NNW of Yuksom, Sikkim, India",Medium
2021-06-21 12:57:41,26.53,92.67,2.8,15.0,"18km SW of Tezpur, Assam, India",Low
2021-06-21 06:56:04,1.6,92.23,4.9,10.0,"629km SSW of Campbell Bay, Andaman and Nicobar island, India",Medium
2021-06-21 06:09:41,27.0,93.43,3.0,10.0,"19km WSW of Itanagar, Arunachal Pradesh, India",Low
2021-06-20 12:02:01,28.67,77.14,2.1,7.0,"8km NW of New Delhi, India",Low
2021-06-20 05:41:49,31.29,78.46,3.1,15.0,"62km N of Uttarkashi, Uttarakhand, India",Low
2021-06-20 01:22:50,25.28,94.3,3.6,30.0,"20km NW of Shirui, Manipur, India",Low
2021-06-20 01:02:07,28.89,94.79,3.1,17.0,"95km NNW of Pangin, Arunachal Pradesh, India",Low
2021-06-19 01:07:32,26.72,92.4,4.2,30.0,"39km W of Tezpur, Assam, India",Medium
2021-06-18 15:45:42,23.42,70.32,4.0,20.0,"133km NNW of Rajkot, Gujarat, India",Medium
2021-06-18 12:42:51,26.73,92.4,2.8,10.0,"39km WNW of Tezpur, Assam, India",Low
2021-06-18 04:20:21,25.67,91.29,2.6,10.0,"58km WSW of Nongpoh, Meghalaya, India",Low
2021-06-18 02:04:40,26.73,92.44,4.1,22.0,"36km WNW of Tezpur, Assam, India",Medium
2021-06-18 01:06:08,24.3,94.1,3.0,10.0,"39km ESE of Moirang, Manipur, India",Low
2021-06-16 14:18:59,38.02,93.53,5.4,10.0,"1110km N of Pangin, Arunachal Pradesh, India",Medium
2021-06-16 02:24:45,23.83,94.0,2.7,15.0,"77km SSE of Moirang, Manipur, India",Low
2021-06-15 22:53:57,26.59,92.19,3.0,10.0,"60km W of Tezpur, Assam, India",Low
2021-06-15 20:16:07,26.65,97.0,4.4,10.0,"126km SSE of Changlang, Arunachal Pradesh, India",Medium
2021-06-15 15:43:42,31.68,75.56,2.9,36.0,"39km N of Jalandhar, Punjab, India",Low
2021-06-13 22:47:35,26.52,92.28,2.8,10.0,"53km WSW of Tezpur, Assam, India",Low
2021-06-13 00:01:27,20.81,84.99,3.5,5.0,"104km WNW of Bhubaneswar, Odisha, India",Low
2021-06-12 15:30:51,24.85,97.85,4.9,19.0,"340km E of Ukhrul, Manipur, India",Medium
2021-06-11 04:53:12,27.07,92.52,3.6,10.0,"53km NNW of Tezpur, Assam, India",Low
2021-06-09 17:06:01,31.96,72.89,4.1,10.0,"190km W of Amritsar, Punjab, India",Medium
2021-06-08 18:56:48,34.4,81.6,3.9,10.0,"309km NE of Hanley, Jammu & Kashmir, India",Low
2021-06-06 06:21:52,32.99,75.82,2.5,5.0,"82km E of Katra, Jammu and Kashmir, India",Low
2021-06-06 00:07:15,24.48,94.48,2.6,47.0,"50km S of Ukhrul, Manipur, India",Low
2021-06-05 00:47:17,25.29,94.68,3.1,10.0,"31km NE of Shirui, Manipur, India",Low
2021-06-04 15:02:13,24.97,94.96,3.6,80.0,"48km E of Ukhrul, Manipur, India",Low
2021-06-03 23:04:00,32.41,76.51,2.9,10.0,"27km NE of Dharamshala, Himachal Pradesh, India",Low
2021-06-03 11:25:23,34.68,97.8,4.8,63.0,"765km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-06-03 08:16:27,24.27,94.28,3.5,10.0,"56km ESE of Moirang, Manipur, India",Low
2021-06-03 01:15:38,10.6,91.52,4.2,10.0,"174km SW of Portblair, Andaman and Nicobar island, India",Medium
2021-06-02 16:33:27,26.41,90.15,2.8,5.0,"99km N of Tura, Meghalaya, India",Low
2021-06-02 09:38:25,26.55,96.05,3.6,10.0,"144km SSW of Changlang, Arunachal Pradesh, India",Low
2021-06-01 23:48:30,26.77,92.42,3.5,10.0,"39km WNW of Tezpur, Assam, India",Low
2021-06-01 15:47:03,33.12,75.87,3.1,5.0,"88km E of Katra, Jammu and Kashmir, India",Low
2021-06-01 01:19:34,23.21,94.64,4.7,80.0,"136km E of Champhai, Mizoram, India",Medium
2021-05-31 21:54:04,28.72,77.13,2.4,8.0,"13km NNW of New Delhi, India",Low
2021-05-31 09:50:50,26.69,92.35,3.8,24.0,"44km W of Tezpur, Assam, India",Low
2021-05-31 02:00:36,24.65,94.77,3.4,24.0,"42km SE of Ukhrul, Manipur, India",Low
2021-05-30 14:23:06,26.69,92.39,4.1,16.0,"40km W of Tezpur, Assam, India",Medium
2021-05-30 12:25:17,34.55,98.29,4.7,12.0,"767km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-30 10:20:15,34.61,98.07,4.7,10.0,"766km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-29 19:08:16,24.51,94.69,3.9,16.0,"51km SSE of Ukhrul, Manipur, India",Low
2021-05-29 13:30:11,24.79,91.61,3.4,3.4,"54km SSW of Cherrapunjee, Meghalaya, India",Low
2021-05-29 10:06:50,25.09,92.17,3.0,15.0,"48km ESE of Cherrapunjee, Meghalaya, India",Low
2021-05-29 01:29:04,25.57,91.78,3.5,10.0,"11km W of Shillong, Meghalaya, India",Low
2021-05-28 09:28:05,27.76,66.39,4.6,10.0,"666km NNW of Dwarka, Gujarat, India",Medium
2021-05-27 23:59:05,25.04,93.52,2.7,12.0,"48km WNW of Imphal, Manipur, India",Low
2021-05-27 20:34:07,26.54,99.5,4.0,10.0,"312km ESE of Changlang, Arunachal Pradesh, India",Medium
2021-05-27 18:36:09,34.55,99.06,4.8,30.0,"791km NNE of Changlang, Arunachal Pradesh, India",Medium
2021-05-26 13:11:23,26.85,88.72,3.8,5.0,"35km ENE of Siliguri, West Bengal, India",Low
2021-05-26 00:53:08,23.55,94.58,4.3,90.0,"128km E of Champhai, Mizoram, India",Medium
2021-05-26 00:20:35,25.36,94.11,2.6,30.0,"35km S of Kohima, Nagaland, India",Low
2021-05-25 04:30:23,34.9,97.83,4.5,10.0,"789km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-24 20:35:23,4.24,95.16,4.6,52.0,"337km SSE of Campbell Bay, Andaman and Nicobar island, India",Medium
2021-05-24 19:45:41,33.93,97.17,4.3,81.0,"668km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-24 00:31:45,30.94,79.44,4.3,22.0,"44km NNW of Joshimath, Uttarakhand , India",Medium
2021-05-23 09:16:53,17.36,73.84,3.3,5.0,"84km NNW of Kolhapur, Maharashtra, India",Low
2021-05-23 06:56:42,24.79,94.94,4.3,109.0,"49km ESE of Ukhrul, Manipur, India",Medium
2021-05-23 00:56:15,35.27,73.57,3.5,5.0,"154km NNW of Gulmarg, Jammu and Kashmir, India",Low
2021-05-22 21:10:00,27.73,92.58,2.8,10.0,"71km ENE of Tawang, Arunachal Pradesh, India",Low
2021-05-22 17:44:52,25.59,99.08,4.3,10.0,"340km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-22 15:09:38,34.77,97.39,4.5,10.0,"763km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 13:29:03,33.15,75.92,3.3,10.0,"93km ENE of Katra, Jammu and Kashmir, India",Low
2021-05-22 12:36:33,34.1,97.8,4.5,10.0,"704km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 09:33:40,35.47,99.56,4.2,34.0,"902km NNE of Changlang, Arunachal Pradesh, India",Medium
2021-05-22 08:51:19,34.78,97.96,4.6,12.0,"780km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 08:37:47,34.57,76.64,3.6,40.0,"46km E of Kargil, Laddakh, India",Low
2021-05-22 08:08:49,34.53,98.43,5.0,10.0,"770km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 07:59:33,35.02,97.6,4.7,10.0,"795km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 07:18:16,25.78,99.01,4.1,10.0,"320km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-22 03:29:37,34.56,98.28,4.7,10.0,"768km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 01:34:33,34.66,98.19,4.5,10.0,"775km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 01:19:15,34.64,97.94,4.5,10.0,"765km NNE of Pangin, Arunachal Pradesh, India",Medium
2021-05-22 00:33:09,34.49,98.94,4.8,10.0,"781km NNE of Changlang, Arunachal Pradesh, India",Medium
2021-05-21 23:34:14,34.65,98.06,7.0,10.0,"770km NNE of Pangin, Arunachal Pradesh, India",High
2021-05-21 23:21:00,26.26,96.94,2.9,10.0,"167km S of Changlang, Arunachal Pradesh, India",Low
2021-05-21 23:06:20,25.77,99.16,4.0,10.0,"332km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-21 20:54:00,26.06,98.46,4.3,30.0,"259km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-21 20:01:22,25.88,99.35,5.0,10.0,"339km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-21 19:18:41,25.67,99.96,5.8,100.0,"402km SE of Changlang, Arunachal Pradesh, India",Medium
2021-05-21 11:02:32,35.29,77.98,4.2,90.0,"131km NNE of Leh, Laddakh, India",Medium
2021-05-20 15:05:20,32.83,76.13,3.2,10.0,"70km NNW of Dharamshala, Himachal Pradesh, India",Low
2021-05-19 17:55:49,26.22,91.47,3.2,30.0,"27km WNW of Guwahati, Assam, India",Low
2021-05-19 14:34:18,33.04,75.92,3.2,5.0,"92km E of Katra, Jammu and Kashmir, India",Low
2021-05-19 12:06:53,28.72,77.03,1.9,5.0,"20km NW of New Delhi, India",Low
2021-05-18 17:33:00,26.72,92.45,3.8,19.0,"34km WNW of Tezpur, Assam, India",Low
2021-05-18 16:23:28,37.34,76.88,4.2,10.0,"317km N of Kargil, Laddakh, India",Medium
2021-05-18 04:24:46,15.46,93.37,4.1,34.0,"247km N of Diglipur, Andaman and Nicobar island, India",Medium
2021-05-17 10:07:39,30.92,91.88,4.2,165.0,"371km N of Tawang, Arunachal Pradesh, India",Medium
2021-05-17 03:37:18,20.68,71.02,3.8,10.0,"182km S of Rajkot, Gujarat, India",Low
2021-05-16 20:12:19,26.06,92.6,2.5,5.0,"68km SSW of Tezpur, Assam, India",Low
2021-05-16 01:25:29,27.21,92.34,2.6,22.0,"61km SE of Tawang, Arunachal Pradesh, India",Low
2021-05-15 08:33:55,26.74,92.39,3.9,16.0,"41km WNW of Tezpur, Assam, India",Low
2021-05-15 05:09:53,26.28,95.26,4.2,81.0,"74km E of Mokokchung, Nagaland, India",Medium
2021-05-15 01:02:35,22.85,93.75,3.1,30.0,"80km SSE of Champhai, Mizoram, India",Low
2021-05-14 22:12:03,24.99,95.03,4.3,101.0,"55km E of Ukhrul, Manipur, India",Medium
2021-05-13 14:05:31,36.77,86.62,4.8,10.0,"833km NE of Hanley, Jammu & Kashmir, India",Medium
2021-05-13 09:15:00,23.519,92.614,3.3,10.0,"25km SSW of Aizawal,Mizoram,India",Low
2021-05-13 02:05:16,25.93,92.84,2.6,10.0,"80km S of Tezpur, Assam, India",Low
2021-05-12 20:57:45,25.59,92.43,2.3,20.0,"53km E of Shillong, Meghalaya, India",Low
2021-05-12 00:27:38,26.73,92.36,3.1,16.0,"43km W of Tezpur, Assam, India",Low
2021-05-10 21:37:09,34.51,74.16,3.1,10.0,"55km NNW of Gulmarg, Jammu and Kashmir, India",Low
2021-05-10 07:05:52,26.49,92.46,3.0,23.0,"37km WSW of Tezpur, Assam, India",Low
2021-05-10 03:49:00,32.32,76.86,2.4,5.0,"32km WNW of Manali, Himachal Pradesh, India",Low
2021-05-10 02:01:56,27.76,92.86,2.4,10.0,"99km ENE of Tawang, Arunachal Pradesh, India",Low
2021-05-10 00:11:26,26.69,92.42,3.7,23.0,"37km W of Tezpur, Assam, India",Low
2021-05-09 23:58:06,26.68,92.39,2.9,18.0,"40km W of Tezpur, Assam, India",Low
2021-05-09 09:03:26,22.46,92.8,3.7,28.0,"91km S of Thenzawl, Mizoram, India",Low
2021-05-09 02:54:43,33.05,75.99,2.7,5.0,"97km NNW of Dharamshala, Himachal Pradesh, India",Low
2021-05-08 18:50:14,25.63,91.95,3.1,13.0,"8km NE of Shillong, Meghalaya, India",Low
2021-05-08 13:57:44,17.46,74.51,2.7,10.0,"88km NNE of Kolhapur, Maharashtra, India",Low
2021-05-08 13:54:56,17.36,73.84,2.5,10.0,"84km NNW of Kolhapur, Maharashtra, India",Low
2021-05-08 10:26:41,29.77,80.58,3.2,9.0,"40km ENE of Pithoragarh, Uttarakhand, India",Low
2021-05-08 10:24:18,25.18,93.6,3.8,154.0,"52km NW of Imphal, Manipur, India",Low
2021-05-08 08:09:50,32.98,76.08,3.0,10.0,"87km NNW of Dharamshala, Himachal Pradesh, India",Low
2021-05-08 01:09:55,26.32,91.44,2.9,28.0,"35km WNW of Guwahati, Assam, India",Low
2021-05-07 19:33:18,26.75,92.42,2.8,10.0,"38km WNW of Tezpur, Assam, India",Low
2021-05-07 10:05:41,34.89,73.62,3.7,50.0,"116km NW of Gulmarg, Jammu and Kashmir, India",Low
2021-05-07 06:13:10,26.33,92.34,2.8,68.0,"57km SW of Tezpur, Assam, India",Low
2021-05-07 00:41:36,22.41,78.95,3.0,30.0,"53km E of Pachmarhi, Madhya Pradesh, India",Low
2021-05-07 00:19:36,27.01,92.46,2.9,17.0,"51km NW of Tezpur, Assam, India",Low
2021-05-06 10:30:16,26.55,92.39,3.6,10.0,"41km WSW of Tezpur, Assam, India",Low
2021-05-06 08:31:58,25.88,92.24,2.9,10.0,"40km E of Nongpoh, Meghalaya, India",Low
2021-05-05 19:22:12,26.68,92.39,3.5,27.0,"40km W of Tezpur, Assam, India",Low
2021-05-05 12:49:51,25.13,94.87,3.9,50.0,"45km ENE of Ukhrul, Manipur, India",Low
2021-05-05 05:48:50,27.39,92.38,3.2,10.0,"54km ESE of Tawang, Arunachal Pradesh, India",Low
2021-05-05 04:01:23,8.69,94.41,4.3,85.0,"195km NNE of Campbell Bay, Andaman and Nicobar island, India",Medium
2021-05-05 02:19:48,23.79,93.92,3.2,10.0,"70km ENE of Champhai, Mizoram, India",Low
2021-05-04 04:14:48,23.43,94.11,3.9,93.0,"79km E of Champhai, Mizoram, India",Low
2021-05-04 03:27:15,38.36,75.52,4.3,136.0,"426km N of Kargil, Laddakh, India",Medium
2021-05-04 00:43:56,37.11,74.41,4.8,10.0,"324km NNW of Kargil, Laddakh, India",Medium
2021-05-04 00:09:03,26.65,92.41,2.8,25.0,"38km W of Tezpur, Assam, India",Low
2021-05-03 23:16:23,31.71,91.84,3.7,10.0,"459km N of Tawang, Arunachal Pradesh, India",Low
2021-05-03 22:05:12,26.09,90.41,2.5,33.0,"67km NNE of Tura, Meghalaya, India",Low
2021-05-03 21:55:01,26.71,92.39,2.8,17.0,"40km W of Tezpur, Assam, India",Low
2021-05-03 18:13:08,26.74,92.45,3.7,10.0,"35km WNW of Tezpur, Assam, India",Low
2021-05-03 16:11:29,25.9,95.21,3.5,53.9,"83km ESE of Mokokchung, Nagaland, India",Low
2021-05-03 02:19:40,5.804,94.887,4.5,10.0,"172km SE of Campbell Bay, Andaman and Nicobar island, India",Medium
2021-05-03 01:23:39,26.43,92.24,2.7,40.0,"59km ENE of Guwahati, Assam, India",Low
2021-05-03 00:26:32,26.87,91.94,2.8,10.0,"79km S of Tawang, Arunachal Pradesh, India",Low
2021-05-02 23:02:37,26.82,92.43,2.6,13.0,"40km WNW of Tezpur, Assam, India",Low
2021-05-02 16:49:19,25.06,65.36,4.2,25.0,"482km NW of Dwarka, Gujarat, India",Medium
2021-05-02 03:48:51,26.71,92.4,2.7,16.0,"39km W of Tezpur, Assam, India",Low
2021-05-01 20:26:58,26.73,92.37,2.7,14.0,"42km W of Tezpur, Assam, India",Low
2021-05-01 20:09:46,26.72,92.39,3.3,15.0,"40km W of Tezpur, Assam, India",Low
2021-05-01 12:57:58,26.09,92.31,2.6,27.0,"53km ENE of Nongpoh, Meghalaya, India",Low
2021-04-30 22:13:27,5.64,94.44,4.6,30.0,"163km SSE of Campbell Bay, Andaman and Nicobar island, India",Medium
2021-04-30 19:44:08,30.64,76.01,2.9,10.0,"74km W of Chandigarh, Chandigarh, India",Low
2021-04-30 19:10:06,24.38,94.65,3.6,34.0,"63km SSE of Ukhrul, Manipur, India",Low
2021-04-30 18:27:31,26.59,92.39,3.2,27.0,"40km W of Tezpur, Assam, India",Low
2021-04-30 16:49:28,26.58,92.51,3.5,40.0,"29km WSW of Tezpur, Assam, India",Low
